scenario,configuredFailureRate,concurrency,metric,baselineMean,resilientMean,deltaResilientMinusBaseline,pairedBy
f5-payment-succeeds-response-lost,0.05,100,recoveryFailedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,recoverySuccessRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,nonTerminalAfterRecoveryRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,operationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,averageOperationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,compensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,averageCompensationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,totalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,averageTotalRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,compensationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,p50LatencyMs,94.70496240010107,144.95187069987878,50.246908299777715,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,p95LatencyMs,437.16989980021026,1107.6986997999484,670.5287999997381,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,p99LatencyMs,621.9760416002828,1704.1417751999688,1082.165733599686,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,throughputTransactionsPerSecond,763.5767106474248,418.1083102197344,-345.46840042769037,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,averageRecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,p95RecoveryTimeMs,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f5-payment-succeeds-response-lost,0.05,100,actualInjectedFailureRate,0.0502,0.0502,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,attemptSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,logicalTransactionSuccessRate,1.0,1.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,terminalFailedLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,nonTerminalLogicalTransactions,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,invariantViolationRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,duplicateOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,duplicatePaymentRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,orphanedOrderRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,recoveryAttemptedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,recoveryCompletedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,recoveryFailedRate,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,recoverySuccessRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,nonTerminalAfterRecoveryRate,NA,NA,NA,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,operationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
f8-concurrent-duplicate-transaction-requests,1.0,1,averageOperationRetryCount,0.0,0.0,0.0,"scenario,configuredFailureRate,concurrency,randomSeed,repetitionNumber"
